호출부호,선사,선명,총톤수,LOA
UBOW6,FES,FESCOYANINA,9522,142
5LDS9,HLC,ALQIBLAEXPRESS,141077,366
V7GQ8,ONE,WIDEHOTEL,51872,255
3E5307,HMM,HMMHARMONY,18812,172
5LRX9,HMM,HMMPEARL,126995,335
D7SP,HMM,PANCONCHAMPION,18606,172
MGGA2,HMM,HYUNDAISATURN,110632,324
5LQQ8,HMM,HMMPERIDOT,126943,336
3FKA6,HMM,POSHOCHIMINH,18085,172
5LPB9,HLC,HOPEC,9921,147
DFGA2,HLC,ALNASRIYAH,153148,368
5BEX4,ONE,MARINAONE,28007,222
3FVL4,YML,YMMOVEMENT,71821,293
9VFL3,ONE,ACXDIAMOND,29060,223
D5EC4,HMM,HYUNDAIPLATINUM,52467,255
3FMK3,ONE,ONEHANGZHOUBAY,96790,335
D5CE3,ONE,GSLCHLOE,26374,209
D7GW,HMM,HYUNDAIGOODWILL,53100,294
5LCZ4,YML,YMTOGETHER,118524,333
UBOW6,FES,FESCOYANINA,9522,142
3E6006,BEN,YONGSHUN,16405,167
5LLI4,HLC,JEBELALI,141077,366
MGGA4,HMM,HYUNDAIEARTH,110632,324
5LCI2,ONE,SEABREEZE,27104,199
5LPB9,HLC,HOPEC,9921,147
7KDP,ONE,ONEBLUEJAY,145251,364
UBIY3,FES,FESCOTATARSTAN,7560,129
V7YB6,ONE,CALIDRIS,35878,213
5LLM5,HLC,AINSNANEXPRESS,141650,366
5LRN9,HMM,HMMSAPPHIRE,126943,336
D5CE3,ONE,GSLCHLOE,26374,209
V7A2935,HMM,INFERRO,19035,171
C6WD9,ONE,MOLCREATION,86692,316
D7EV,HMM,HMMPROMISE,114023,330
D7CU,HMM,HMMTACOMA,72597,293
5LJC2,FES,FESCODIOMID,35250,220
DCUJ2,HLC,CHICAGOEXPRESS,93811,336
9VFL3,ONE,ACXDIAMOND,29060,223
3FTZ5,ONE,STSUCCESS,27104,200
3E5389,HMM,HMMMIRACLE,18812,172
D5DY5,HMM,HYUNDAIPRIVILEGE,52467,255
VROH8,YML,YMWELLHEAD,145324,368
A8PT6,FES,FSIPANEMA,21265,180
7JXG,ONE,ONECOMMITMENT,87022,316
9V9757,YML,YMWARRANTY,150754,366
D5CE3,ONE,GSLCHLOE,26374,209
5LPX9,HMM,HMMAQUAMARINE,126995,335
VROC3,YML,YMWISH,145324,368
D5DG9,HMM,HYUNDAIPREMIUM,52467,254
5LCI2,ONE,SEABREEZE,27104,199
CQ2076,HLC,ROMEEXPRESS,141328,366
DJAZ2,HLC,HONGKONGEXPRESS,143262,366
V7YB6,ONE,CALIDRIS,35878,213
D7SP,HMM,PANCONCHAMPION,18606,172
7JVP,ONE,ONEMANHATTAN,153453,366
A8OR8,YML,YMUNIFORM,90507,333
UBIY3,FES,FESCOTATARSTAN,7560,129
D7JM,HMM,HMMHAMBURG,228283,400
5LPB9,HLC,HOPEC,9921,147
3E5307,HMM,HMMHARMONY,18812,172
A8PT6,FES,FSIPANEMA,21265,180
9V9804,HLC,CHARLOTTESCHULTE,51872,255
D5CE3,ONE,GSLCHLOE,26374,209
5LRB6,HMM,HMMRUBY,126943,336
V7PX2,HMM,HYUNDAIFORWARD,52581,294
HSB3403,RCL,WANABHUM,24181,195
7KPZ,ONE,ONECONTRIBUTION,87023,316
9VFL3,ONE,ACXDIAMOND,29060,223
D5XC7,YML,YMTIPTOP,115761,332
5LLQ5,HLC,UMMSALAL,141077,366
5LCI2,ONE,SEABREEZE,27104,199
V7QC3,HMM,HYUNDAIGRACE,52581,294
VROO6,YML,YMWORTH,145324,368
DIKI2,HLC,UMMQARN,153148,368
UBOW6,FES,FESCOYANINA,9522,142
H9EW,YML,YMMODERATION,71821,293
D7HB,HMM,HMMBANGKOK,75308,303
V7A2935,HMM,INFERRO,19035,171
3EWX3,ONE,SPARKLE,27104,199
D5CE3,ONE,GSLCHLOE,26374,209
5LPB9,HLC,HOPEC,9921,147
C6WN8,ONE,MOLCHARISMA,86692,316
KGMQ,APL,APLISLANDER,17594,170
D7DR,HMM,HMMDREAM,142620,365
5LSB8,HMM,HMMTOPAZ,126943,336
V7YB6,ONE,CALIDRIS,35878,213
5LGV4,YML,YMTRILLION,118524,334
DJBF2,HLC,SHANGHAIEXPRESS,143262,366
UBIY3,FES,FESCOTATARSTAN,7560,129
3E5389,HMM,HMMMIRACLE,18812,172
5LJB8,FES,KAPITANAFANASYEV,16542,184
VROO4,YML,YMWHOLESOME,145324,368
V7QJ9,HMM,HYUNDAIVOYAGER,52581,294
D5XC3,YML,YMTRIUMPH,115761,332
5BEX4,ONE,MARINAONE,28007,222
D5CE3,ONE,GSLCHLOE,26374,209
3FXN9,EMC,EVERURBAN,69246,285
5LPB9,HLC,HOPEC,9921,147
5LEV4,HLC,UNAYZAHEXPRESS,141077,366
VRTO4,HLC,PARISEXPRESS,140259,367
9VFL3,ONE,ACXDIAMOND,29060,223
D7HV,HMM,HMMVICTORY,142620,366
VRTF4,ONE,SEASPANADONIS,106154,333
VRVQ3,ONE,ONECOSMOS,88089,320
5LCI2,ONE,SEABREEZE,27104,199
MEDZ8,HMM,HYUNDAIPLUTO,110632,324
7KHW,ONE,ONEALTAIR,105644,333
UARA3,FES,IPANEMA,21265,180
D5FE7,YML,YMMODESTY,71821,292
V7YB6,ONE,CALIDRIS,35878,213
5LQI5,HMM,HMMEMERALD,126995,335
D5CE3,ONE,GSLCHLOE,26374,209
3E5307,HMM,HMMHARMONY,18812,172
5LPB9,HLC,HOPEC,9921,147
2HDG2,EMC,EVERLIBERAL,99995,335
UBOW6,FES,FESCOYANINA,9522,142
3FTZ5,ONE,STSUCCESS,27104,200
V7GQ8,ONE,WIDEHOTEL,51872,255
D5DQ8,HMM,HYUNDAIPARAMOUNT,52467,255
D5XC6,YML,YMTARGET,115761,330
9VFL3,ONE,ACXDIAMOND,29060,223
V7A2935,HMM,INFERRO,19035,171
5LPB9,HLC,HOPEC,9921,147
D5OX5,YML,YMPLUM,64254,274
DIXJ2,HLC,NEWYORKEXPRESS,143262,366
D5CE3,ONE,GSLCHLOE,26374,209
5LOT3,HMM,HMMGARNET,126995,335
VRPF8,YML,YMWELCOME,145136,368
5LCI2,ONE,SEABREEZE,27104,199
5LAM9,HMM,HMMRAON,152003,366
UBOW6,FES,FESCOYANINA,9522,142
5LRX9,HMM,HMMPEARL,126995,335
VRZB8,FES,JIYU,6094,116
ZGOK7,ONE,ONEARCADIA,105644,332
9V7963,EMC,EVERUNICORN,69246,285
5LPB9,HLC,HOPEC,9921,147
3E5389,HMM,HMMMIRACLE,18812,172
5LOK3,YML,YMWISDOM,151451,366
VRTN4,HLC,MADRIDEXPRESS,141328,366
D5CE3,ONE,GSLCHLOE,26374,209
5LAM6,HMM,HMMDAON,152003,366
7KIL,ONE,ONETHESEUS,76862,304
9VFL3,ONE,ACXDIAMOND,29060,223
DFGN2,HLC,BASLEEXPRESS,143262,366
9HA5658,ONE,CONTICONTESSA,90449,334
HSB3403,RCL,WANABHUM,24181,195
VROO3,YML,YMWELLNESS,145324,368
UBOW6,FES,FESCOYANINA,9522,142
9LS2051,FES,KAPITANMISKOV,25260,172
D5DY5,HMM,HYUNDAIPRIVILEGE,52467,255
V7PX6,HMM,HYUNDAIUNITY,52581,294
CQ2077,HLC,SOUTHAMPTONEXPRESS,141328,366
5LPB9,HLC,HOPEC,9921,147
5LQQ8,HMM,HMMPERIDOT,126943,336
5LCI2,ONE,SEABREEZE,27104,199
D7DV,HMM,HMMDRIVE,142620,366
5LCJ8,ONE,CONTICONQUEST,90449,334
V7PP4,HMM,HYUNDAICOURAGE,95681,340
V7QL3,HMM,HYUNDAISUPREME,52581,294
D5CE3,ONE,GSLCHLOE,26374,209
3E5307,HMM,HMMHARMONY,18812,172
5LMT7,YML,YMWELLSPRING,150754,366
3FVL4,YML,YMMOVEMENT,71821,293
V7YB6,ONE,CALIDRIS,35878,213
DFGA2,HLC,ALNASRIYAH,153148,368
5LSU9,HMM,HMMOPAL,126943,336
V2DV4,XPR,ASCHRISTIANA,28372,221
UBOW6,FES,FESCOYANINA,9522,142
5LFC6,ONE,CONTICRYSTAL,90449,366
MEED8,HMM,HYUNDAIJUPITER,110632,324
VRZB8,FES,JIYU,6094,116
5LPB9,HLC,HOPEC,9921,147
9V9804,HLC,CHARLOTTESCHULTE,51872,255
9VFL3,ONE,ACXDIAMOND,29060,223
D7SP,HMM,PANCONCHAMPION,18606,172
5LCZ4,YML,YMTOGETHER,118524,333
D7DS,HMM,HMMOAKLAND,72597,293
V7A2935,HMM,INFERRO,19035,171
5BEX4,ONE,MARINAONE,28007,222
DCQP2,HLC,ESSENEXPRESS,143262,366
V7QI4,HMM,HYUNDAIDYNASTY,52581,295
5LCI2,ONE,SEABREEZE,27104,199
7KDP,ONE,ONEBLUEJAY,145251,364
D7HP,HMM,HMMHOPE,142620,366
3FTZ5,ONE,STSUCCESS,27104,200
D5ZZ8,HMM,HMMMIR,152003,366
VRTN4,HLC,MADRIDEXPRESS,141328,366
UBOW6,FES,FESCOYANINA,9522,142
V7QC3,HMM,HYUNDAIGRACE,52581,294
V2DV4,XPR,ASCHRISTIANA,28372,221
5LRB6,HMM,HMMRUBY,126943,336
7JWL,ONE,ONECOMPETENCE,87035,316
V7YB6,ONE,CALIDRIS,35878,213
D7CX,HMM,HYUNDAIVANCOUVER,72634,293
3EWX3,ONE,SPARKLE,27104,199
3E5389,HMM,HMMMIRACLE,18812,172
V7QJ9,HMM,HYUNDAIVOYAGER,52581,294
A8OR8,YML,YMUNIFORM,90507,333
3E6749,HMM,HMMMASTER,18812,172
VROC3,YML,YMWISH,145324,368
3E6805,FES,QINGXIANG6,16355,167
9V7962,EMC,EVERULYSSES,69246,285
DFKM2,HLC,DORTMUNDEXPRESS,143262,366
9VFL3,ONE,ACXDIAMOND,29060,223
UBOW6,FES,FESCOYANINA,9522,142
5LSB8,HMM,HMMTOPAZ,126943,336
V2DV4,XPR,ASCHRISTIANA,28372,221
VROH8,YML,YMWELLHEAD,145324,368
5LJL6,ONE,STARSHIPNEPTUNE,27997,196
3FMK3,ONE,ONEHANGZHOUBAY,96790,335
D7HI,HMM,HYUNDAIINTEGRAL,53100,295
7JVP,ONE,ONEMANHATTAN,153453,366
5LCI2,ONE,SEABREEZE,27104,199
5BZK3,HMM,HYUNDAITOKYO,74651,304
V7YB6,ONE,CALIDRIS,35878,213
MGGA6,HMM,HYUNDAIMARS,110632,324
C6WN8,ONE,MOLCHARISMA,86692,316
3E5307,HMM,HMMHARMONY,18812,172
3FKA6,HMM,POSHOCHIMINH,18085,172
5LPS6,HMM,HMMAMETHYST,126995,335
UBOW6,FES,FESCOYANINA,9522,142
V2DV4,XPR,ASCHRISTIANA,28372,221
VRZB8,FES,JIYU,6094,116
3FXN9,EMC,EVERURBAN,69246,285
H9EW,YML,YMMODERATION,71821,293
HSB3403,RCL,WANABHUM,24181,195
D5EC4,HMM,HYUNDAIPLATINUM,52467,255
5LPB9,HLC,HOPEC,9921,147
5LAM7,HMM,HMMHANUL,152003,366
9V8494,ONE,WANHAI331,32120,210
VROO6,YML,YMWORTH,145324,368
C6WD9,ONE,MOLCREATION,86692,316
CQ2076,HLC,ROMEEXPRESS,141328,366
V7PS7,HMM,HYUNDAIFAITH,95681,340
9VFL3,ONE,ACXDIAMOND,29060,223
V7A2935,HMM,INFERRO,19035,171
5LCI2,ONE,SEABREEZE,27104,199
5LDS9,HLC,ALQIBLAEXPRESS,141077,366
V7GQ8,ONE,WIDEHOTEL,51872,255
UASA8,FES,KAPITANMALAKHOV,7545,130
V2DV4,XPR,ASCHRISTIANA,28372,221
D5XC7,YML,YMTIPTOP,115761,332
5LPB9,HLC,HOPEC,9921,147
VROO4,YML,YMWHOLESOME,145324,368
3E6805,FES,QINGXIANG6,16355,167
UARA3,FES,IPANEMA,21265,180
7JXG,ONE,ONECOMMITMENT,87022,316
3E5389,HMM,HMMMIRACLE,18812,172
D7HJ,HMM,HYUNDAIJAKARTA,75308,304
D5FE7,YML,YMMODESTY,71821,292
9V8494,ONE,WANHAI331,32120,210
DIKI2,HLC,UMMQARN,153148,368
5LKS2,HLC,ALRIFFA,141077,366
V2DV4,XPR,ASCHRISTIANA,28372,221
5LGV4,YML,YMTRILLION,118524,334
9V9757,YML,YMWARRANTY,150754,366
5BEX4,ONE,MARINAONE,28007,222
VRVQ3,ONE,ONECOSMOS,88089,320
9LS2055,FES,FESCODALNEGORSK,35840,221
VRZB8,FES,JIYU,6094,116
3E6805,FES,QINGXIANG6,16355,167
9VFL3,ONE,ACXDIAMOND,29060,223
9V7963,EMC,EVERUNICORN,69246,285
5LFP2,HLC,TAYMAEXPRESS,141077,366
5LCI2,ONE,SEABREEZE,27104,199
A8XY5,YML,YMMUTUALITY,76787,305
3EWX3,ONE,SPARKLE,27104,199
DJAZ2,HLC,HONGKONGEXPRESS,143262,366
7KPZ,ONE,ONECONTRIBUTION,87023,316
D5DY5,HMM,HYUNDAIPRIVILEGE,52467,255
V2DV4,XPR,ASCHRISTIANA,28372,221
D5YY9,HMM,HMMGAON,152003,366
D5XC3,YML,YMTRIUMPH,115761,332
5LPB9,HLC,HOPEC,9921,147
VRPF8,YML,YMWELCOME,145136,368
3E6805,FES,QINGXIANG6,16355,167
3FKA6,HMM,POSHOCHIMINH,18085,172
5BZM3,HMM,HYUNDAISHANGHAI,74651,304
3E5307,HMM,HMMHARMONY,18812,172
5LJL6,ONE,STARSHIPNEPTUNE,27997,196
9V8494,ONE,WANHAI331,32120,210
9V9804,HLC,CHARLOTTESCHULTE,51872,255
5LCI2,ONE,SEABREEZE,27104,199
5LSU9,HMM,HMMOPAL,126943,336
V7PX2,HMM,HYUNDAIFORWARD,52581,294
V2DV4,XPR,ASCHRISTIANA,28372,221
VROO3,YML,YMWELLNESS,145324,368
5LLM5,HLC,AINSNANEXPRESS,141650,366
9VFL3,ONE,ACXDIAMOND,29060,223
3E6805,FES,QINGXIANG6,16355,167
5LPB9,HLC,HOPEC,9921,147
9VAT9,ONE,ONEHARBOUR,98747,336
V7A2935,HMM,INFERRO,19035,171
5LAM9,HMM,HMMRAON,152003,366
VRZB8,FES,JIYU,6094,116
5LRB6,HMM,HMMRUBY,126943,336
9V8494,ONE,WANHAI331,32120,210
HSB3403,RCL,WANABHUM,24181,195
D5OX5,YML,YMPLUM,64254,274
