호출부호,선사,선명,총톤수,LOA
V7BP8,MSC,CAPTAINTHANASISI,28592,222
D5IC7,MSC,MSCMANHATTANV,54592,294
5BFZ5,MSC,ATHENSGLORY,75484,300
CQIQ5,MSC,NORTHERNJUBILEE,94419,332
D5WM8,MSC,BREMEN,91203,183
5LSZ2,MSC,MSCVERONA,155104,366
HODU,MSC,MSCBARBARA,73819,304
5LDP3,MSC,MSCCASSANDRE,113697,328
D5JQ4,MSC,MSCCATHERINEVI,75201,299
CQYL,MSC,MSCBRANKA,95514,300
3FZR5,MSC,MSCLAUREN,140096,366
3EVH7,MSC,MSCELAINE,95681,340
D5OA3,MSC,MSCAVNI,103515,314
9HA4024,MSC,NAVARINO,91354,335
D5OE8,MSC,MSCCARLOTTA,103515,314
5LLE2,MSC,MSCSURABAYAVIII,94322,332
5BEN4,HLC,NORDPUMA,18826,170
CQRD,MSC,MSCRIDAVIII,94511,340
5LBU8,MSC,MSCRINIIII,27051,210
5LPV7,ZIM,HAWKI,49877,146
5LUA7,MSC,MSCTOGO,79103,260
5LTL3,MSC,MSCCARMELA,155955,366
5LFR7,MSC,MSCFORTUNEF,9928,147
5LUA9,MSC,MSCNIGERIA,79103,260
3EDK7,MSC,MSCALABAMAIII,37518,243
D5KG9,MSC,MSCLEOVI,75201,300
CQID6,MSC,MSCCLEA,95514,300
CQ2420,MSC,MSCADUV,54519,294
5LRD9,MSC,MSCPALERMO,151702,366
D5SI4,MSC,MSCDARWINVI,66278,278
D5LL2,MSC,MSCISTANBUL,176490,399
D5WM7,MSC,CHAMBURG,91203,334
A8JR6,MSC,MSCHANISHAIII,26833,210
5LBU9,MSC,MSCCAROLE,113697,328
DIGY2,MSC,MSCLIVORNO,153733,366
5LAK6,MSC,MSCELLEN,92198,346
CQEF4,MSC,MSCCHARLESTON,91023,325
5LMV8,MSC,MSCVICTORINE,155492,366
9V7838,PIL,KOTACARUM,76633,301
D5ML4,MSC,MSCERICA,194308,398
5LAK5,MSC,MSCVILDAX,92198,347
5LDV8,MSC,MSCDIAMONDII,24918,188
9V9992,ZIM,EAJERSEY,48077,250
CQID5,MSC,MSCMICHELA,95514,300
D7FS,SML,SMYANTIAN,75061,304
CQ2074,MSC,MSCLAGOSX,94402,300
9V9625,ONE,ONESPARKLE,139588,335
3FGF9,MSC,MSCREGINA,40631,259
5LDU9,MSC,MSCFIEX,92198,347
D5IR7,MSC,MSCTAVVISHIVI,66526,278
VRUC3,ZIM,ZIMCHARLESTON,91761,336
9V6171,MAE,MAERSKMEMPHIS,74642,299
VRVC2,ZIM,ZIMMOUNTFUJI,152204,366
VRVB4,MAE,MAERSKCHARLESTON,155545,366
V2HL7,MCC,BFTIGER,28592,222
